Monument,Adresse,Longitude,Latitude,Source
Aubette,Place Kléber,7.745667,48.583885,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085014
Bain Rituel Juif Presume,20 rue des Charpentiers,7.7527485,48.5838073,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085013
Bains Municipaux,10 boulevard de la Victoire,7.75974,48.58358,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000046
Barrage Vauban,Rue de Molsheim,7.738056,48.579444,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085039
Batiments Canoniaux,"Rue de la Nuée-Bleue
8a quai Kellermann
2, 4, 6 rue Saint-Pierre-le-Jeune",7.7460967,48.5860979,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000038
Bibliotheque Nationale Universitaire,"6 place de la République
1 avenue Victor Schœlcher",7.756111,48.587222,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000009
Breuscheckschlossel,33 rue de la Tour,7.714235,48.577729,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085194
Cafe Brant,11 place de l'Université,7.761793,48.585931,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000094
Cathedrale Notre-Dame,Place de la Cathédrale,7.750555,48.5817,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085015
Chambre Taille Subhastations,2 rue du Vieux Marché aux Grains,7.746933,48.582752,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085016
Chateau Eau,Rue de Koenigshoffen,7.728638,48.580447,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085017
Chateau Pourtales,161 rue Mélanie,7.8001,48.6082,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085018
Cimetiere Juif Koenigshoffen,29 rue de la Tour,7.716313,48.577446,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000058
Cinema U.T.,"3 rue des Francs Bourgeois
Rue des Sept Hommes",7.745935,48.582607,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085283
Citadelle,Place du Troisième Régiment de Tirailleurs Algériens,7.773868,48.576643,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085019
Lycee Fustel-De-Coulanges,"Place du Château
8 rue des Écrivains",7.751991,48.581824,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085020
Commanderie Saint-Jean,1 rue Sainte-Marguerite,7.737807,48.581469,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085021
Commissariat Police,11 rue de la Nuée Bleue,7.751879,48.585132,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085055
Direction Regionale Impots,"4 place de la République
25 avenue des Vosges",7.753984,48.588673,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000010
Direction Regionale Douanes,11 avenue de la Liberté,7.757503,48.586558,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085314
Douane,Rue de la Douane,7.749689,48.579471,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085022
Ecole Superieure Arts Decoratifs,1 rue de l'Académie,7.759096,48.582468,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085023
Eglise Sainte-Aurelie,"4, 5 place Sainte-Aurélie",7.733333,48.581389,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085024
Eglise Sainte-Madeleine,Place Sainte-Madeleine,7.754722,48.58,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085028
Eglise Saint-Etienne,2 rue de la Pierre Large,7.75583,48.58333,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085025
Eglise Saint-Guillaume,Rue Saint-Guillaume,7.757778,48.582083,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085026
Eglise Saint-Jean,Quai Saint-Jean,7.74028,48.5844,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085027
Eglise Saint-Nicolas,Quai Saint-Nicolas,7.74833,48.5783,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00135152
Eglise Saint-Paul,Place du Général Eisenhower,7.759709,48.586096,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085029
Eglise Saint-Paul Koenigshoffen,Rue de la Tour,7.714171,48.577714,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000018
Eglise Saint-Pierre-Le-Jeune Protestante,"Place Saint-Pierre-le-Jeune
Rue de la Nuée Bleue",7.746389,48.585556,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000037
Eglise Saint-Pierre-Le-Jeune Protestante,"Place Saint-Pierre-le-Jeune
Rue de la Nuée Bleue",7.746389,48.585556,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085030
Eglise Saint-Pierre-Le-Vieux,1 Grand Rue,7.739722,48.582778,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085031
Eglise Saint-Thomas,4 rue Martin Luther,7.745275,48.579713,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085032
Enceinte Urbaine Medievale,"Boulevard Président Wilson
Rue Wodli",7.73743,48.58721,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000051
Enceinte Moyen Age,Place Sainte-Madeleine,7.75522,48.57957,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085033
Faculte Droit Sciences Politiques Gestion,1 place d'Athènes,7.768056,48.578889,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000064
Faubourg-Jardin Stockfeld,Stockfeld,7.769907,48.530589,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000013
Fonderie Canons,18 place Broglie,7.751741,48.586204,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085035
Fortifications Allemandes,Rue du rempart,7.730877,48.587537,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000083
Gare,Place de la Gare,7.734325,48.584991,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085036
Glacieres,"3, 5 rue des Moulins",7.741729,48.580756,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085291
Grand Seminaire,2 rue des Frères,7.75215,48.5825,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085041
Grenier,8 rue Modeste Schickelé,7.754479,48.580768,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000063
Haras National,1 rue Sainte-Élisabeth,7.743241,48.57688,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085042
Hopital Civil,Place de l'Hôpital,7.746392,48.575783,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085043
Hopital Militaire Gaujot,2 rue de l'Hôpital Militaire,7.75931,48.5781,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085044
Hotel,4 place du Marché aux Poissons,7.751765,48.58022,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085046
Hotel,37 allée de la Robertsau,7.765904,48.588803,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085037
Hotel,20 rue des Serruriers,7.747537,48.580816,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085047
Hotel Andlau,8 rue des Écrivains,7.753209,48.582148,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085048
Hotel Andlau-Klinglin,25 rue de la Nuée Bleue,7.748145,48.584944,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085049
Hotel Boecklin Boecklinsau,17 place Saint-Étienne,7.754494,48.582967,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085053
Hotel Brackenhoffer,11 rue de l'Épine,7.747852,48.5806,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085045
Hotel Brion,22 rue Sleidan,7.768223,48.585749,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085173
Hotel Corbeau,1 quai des Bateliers,7.752099,48.579238,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085051
Hotel Dartein,17 rue des Charpentiers,7.75258,48.58406,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085052
Hôtel Deux Ponts,"13 rue Brûlée
Place Broglie",7.75185,48.58511,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085054
Hotel Epine,9 rue de l'Épine,7.74801,48.580539,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085056
Hotel Ettenheimmunster,3 place de l'Hôpital,7.748997,48.577537,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085057
Hotel Franck,7 quai Saint-Nicolas,7.747754,48.578289,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085058
Hotel Furstemberg,8 rue des Pucelles,7.754049,48.583946,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085059
Hotel Gayling Altheim,20 rue des Veaux,7.755252,48.582435,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085060
Cour Couples,9 rue des Couples,7.752418,48.579312,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085100
Hotel Hanau,"Place Broglie
Rue Brûlée",7.750499,48.584748,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085061
Hotel Joham Mundolsheim,15 rue des Juifs,7.752365,48.583499,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085062
Hotel Klinglin,19 rue Brûlée,7.75318,48.585045,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085063
Hotel Magnus,59 rue du Faubourg-de-Pierre,7.744929,48.589619,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000093
Hotel Marabail,15 rue de l'Arc en Ciel,7.75435,48.584152,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085064
Hotel Neuwiller,4 quai de Paris,7.742001,48.584401,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085065
Hotel Rathsamhausen,9 rue des Dentelles,7.743117,48.581058,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085066
Hotel Saxe,27 rue des Juifs,7.753095,48.58401,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085067
Hotel Schützenberger,76 allée de la Robertsau,7.769993,48.591803,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085038
Hotel Tribu Marchands,"29 rue des Serruriers
1 rue du Miroir
5 rue Gutenberg",7.747666,48.580866,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085187
Hotel Weitz,3 quai Saint-Thomas,7.746958,48.578992,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085068
Hotel Zorn Bulach,120 Grand Rue,7.744727,48.581207,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085069
Immeuble,16 rue du 22-Novembre,7.742023,48.58269,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000085
Immeuble,"6 rue des Balayeurs
6 place Saint-Nicolas-aux-Ondes",7.761936,48.581242,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085083
Immeuble,11 quai des Bateliers,7.752483,48.580007,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000020
Immeuble,1 place Broglie,7.748589,48.584699,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085094
Immeuble,"19 rue de la Douane
1 rue de l'Etal",7.749833,48.579773,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085105
Immeuble,8 rue du Fossé des Tailleurs,7.749125,48.581789,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085110
Immeuble,"29 rue des Frères
2 rue du Faisan",7.753642,48.58313,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085111
Immeuble,31 rue des Frères,7.753814,48.58313,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085112
Immeuble,22 rue du Général de Castelnau,7.751067,48.589035,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085113
Immeuble,"33, 35, 37 rue des Grandes Arcades",7.74713,48.583052,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085122
Immeuble,"47, 49 rue des Grandes Arcades",7.74743,48.582655,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085123
Immeuble,17 rue des Hallebardes,7.749544,48.582229,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000012
Immeuble,"22 rue des Hallebardes
15 place de la Cathédrale",7.749587,48.582101,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085130
Immeuble,6 quai Kléber,7.743418,48.586061,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085284
Immeuble,13 rue Martin Bucer,7.733708,48.581349,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085139
Immeuble,1 quai des Moulins,7.741669,48.581143,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085147
Immeuble,6 rue des Moulins,7.741411,48.581122,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085148
Immeuble,27 rue de la Nuée Bleue,7.748374,48.584855,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085149
Immeuble,26 allée de la Robertsau,7.765905,48.588276,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000082
Immeuble,56 allée de la Robertsau,7.76833,48.590341,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085156
Immeuble,9 rue Sainte-Hélène,7.74434,48.582186,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085162
Immeuble,4 quai Saint-Thomas,7.747226,48.578999,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085170
Immeuble,46 avenue des Vosges,7.750724,48.589965,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085179
Immeubles,"2, 4 impasse de la Bière",7.752591,48.582953,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085089
Immeubles,"11 rue Mercière
10 place de la Cathédrale",7.749769,48.581611,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085144
Jardin Botanique Universite,28 rue Goethe,7.768064,48.582939,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085285
Kornspeicher,Place Broglie,7.752365,48.585423,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000028
Loge Maconnique,11 rue du Maréchal Joffre,7.757258,48.587225,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00125227
Lycee International Pontonniers,1 rue des Pontonniers,7.7565,48.584173,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000059
Maison,2 rue de l'Abreuvoir,7.760122,48.578793,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085070
Maison,3 rue de l'Ail,7.746786,48.579659,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085071
Maison,7 rue de l'Ail,7.747419,48.579695,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085072
